Страховая пенсия,есть,ежемесячная денежная выплата в целях компенсации застрахованным лицам заработной платы и иных выплат и вознаграждений утраченных ими в связи с наступлением нетрудоспособности вследствие старости или инвалидности а нетрудоспособным членам семьи застрахованных лиц заработной платы и иных выплат и вознаграждений кормильца утраченных в связи со смертью этих застрахованных лиц право на которую определяется в соответствии с условиями и нормами установленными настоящим Федеральным законом, Записать дефиницию
Страховой стаж,есть,учитываемая при определении права на страховую пенсию и ее размера суммарная продолжительность периодов работы и (или) иной деятельности за которые начислялись и уплачивались страховые взносы в Пенсионный фонд Российской Федерации а также иных периодов, засчитываемых в страховой стаж, Записать дефиницию
Индивидуальный пенсионный коэффициент,есть,Параметр отражающий в относительных единицах пенсионные права застрахованного лица на страховую пенсию сформированные с учетом начисленных и уплаченных в Пенсионный фонд Российской Федерации страховых взносов на страховую пенсию предназначенных для ее финансирования продолжительности страхового стажа а также отказа на определенный период от получения страховой пенсии,Записать дефиницию
Установление страховой пенсии,есть,Назначение страховой пенсии перерасчет и корректировка ее размера перевод с одного вида пенсии на другой,Записать дефиницию
Корректировка размера страховой пенсии,есть,Повышение размера страховой пенсии в связи с увеличением стоимости пенсионного коэффициента,Записать дефиницию
Право на страховую пенсию по старости,имеют,Лица достигшие лица  достигшие возраста 65 и 60 лет (соответственно мужчины и женщины), Записать  константы
Лицам имеющим страховой стаж не менее 42 и 37 лет (соответственно мужчины и женщины) страховая пенсия по старости, может назначаться,страховая пенсия по старости на 24 месяца ранее достижения возраста, Построение правила
Страховая пенсия по старости,назначается,при наличии не менее 15 лет страхового стажа,Построение правила
Страховая пенсия по старости,Назначается,при наличии величины индивидуального пенсионного коэффициента в размере не менее 30,Построение правила на определение достаточности величины ИПК
Право на страховую пенсию по инвалидности,Имеют,граждане из числа застрахованных лиц,Записать ограничение
Страховая пенсия по инвалидности,Устанавливается на основании,сведений об инвалидности,Записать ограничение
у инвалида,устанавливается,социальная пенсия по инвалидности,Записать ограничение
Право на страховую пенсию по случаю потери кормильца,Имеют,нетрудоспособные члены семьи умершего кормильца,Записать ограничение
Нетрудоспособные родители и супруг умершего кормильца, не состоявшие на его иждивении,Имеют,право на страховую пенсию по случаю потери кормильца если они независимо от времени прошедшего после его смерти, утратили источник средств к существованию,Записать условие
Другим членам семьи,Имеют,право на страховую пенсию по случаю потери кормильца если они независимо от времени прошедшего после его смерти утратили источник средств к существованию,Записать условие
Члены семьи умершего кормильца,	признаются,состоявшими на его иждивении если они находились на его полном содержании или получали от него помощь которая была для них постоянным и основным источником средств к существованию,Записать ограничение
Дети умерших родителей,имеют,имеют право на страховую пенсию по случаю потери кормильца,Записать условие
Нетрудоспособные родители и супруг умершего кормильца,имеют,право на страховую пенсию по случаю потери кормильца,Записать условие
Нетрудоспособные члены семьи умершего кормильца но которые сами получали какую-либо пенсию,имеют,право перейти на страховую пенсию,Построить правило
Усыновители,имеют,право на страховую пенсию по случаю потери кормильца,Записать условие
Отчим и мачеха,имеют,на страховую пенсию по случаю потери кормильца наравне с отцом и матерью,Записать условие
Пасынок и падчерица,имеют,право на страховую пенсию по случаю потери кормильца наравне с родными детьми,Записать условие
Страховая пенсия по случаю потери кормильца,устанавливается,независимо от продолжительности страхового стажа кормильца из числа застрахованных лиц,Записать ограничение
В страховой стаж,включаются,периоды работы,Записать ограничение
В страховой стаж,включаются,иная деятельность,Записать ограничение
Периоды работы,включаются,В страховой стаж,Записать ограничение
Иная деятельность,включаются,В страховой стаж,Записать ограничение







